id,data_visita,idade,genero,tipo_inscricao,tipo_treino,tempo_treino_minutos,calorias_queimadas,horario_check_in,status_presenca,periodo_check_in
42,2024-10-01,26,Masculino,Anual,HIIT,94,859,07:04:00,Presente,Manhã
43,2024-11-26,45,Feminino,Mensal,HIIT,61,412,08:43:00,Ausente,Manhã
44,2024-03-22,19,Masculino,Mensal,Cardio,81,570,20:36:00,Ausente,Noite
45,2024-08-14,39,Feminino,Mensal,Yoga,26,208,14:20:00,Ausente,Tarde
46,2024-07-01,33,Masculino,Mensal,CrossFit,56,336,21:50:00,Ausente,Noite
47,2024-12-07,40,Outro,Trimestral,Yoga,92,524,19:24:00,Ausente,Noite
48,2024-10-18,32,Feminino,Mensal,Cardio,63,546,18:26:00,Ausente,Noite
49,2024-07-02,42,Masculino,Mensal,CrossFit,103,755,16:47:00,Presente,Tarde
50,2024-12-04,42,Outro,Trimestral,Treino de força,99,746,16:19:00,Ausente,Tarde
51,2024-08-11,27,Masculino,Mensal,Yoga,60,337,09:43:00,Presente,Manhã
52,2024-11-22,42,Masculino,Anual,CrossFit,42,346,05:27:00,Presente,Manhã
53,2024-01-01,47,Masculino,Trimestral,CrossFit,55,286,13:54:00,Ausente,Tarde
54,2024-12-02,23,Feminino,Mensal,CrossFit,115,1086,21:11:00,Ausente,Noite
55,2024-05-07,18,Masculino,Anual,Cardio,53,483,15:03:00,Ausente,Tarde
56,2024-03-02,22,Outro,Trimestral,Cardio,44,423,18:47:00,Presente,Noite
57,2024-06-12,37,Masculino,Mensal,Cardio,37,242,11:54:00,Presente,Manhã
58,2024-11-12,39,Outro,Anual,Yoga,76,596,09:48:00,Ausente,Manhã
59,2024-06-14,59,Feminino,Mensal,HIIT,47,460,17:00:00,Ausente,Tarde
60,2024-03-08,65,Outro,Anual,HIIT,57,318,19:47:00,Presente,Noite
61,2024-01-19,54,Feminino,Anual,Yoga,120,751,20:44:00,Presente,Noite
62,2024-04-08,52,Outro,Mensal,Treino de força,113,878,09:42:00,Presente,Manhã
63,2024-10-10,43,Feminino,Trimestral,Treino de força,22,142,22:58:00,Ausente,Noite
64,2024-09-04,55,Masculino,Trimestral,HIIT,33,248,05:51:00,Ausente,Manhã
65,2024-11-09,33,Outro,Trimestral,HIIT,37,251,10:56:00,Presente,Manhã
66,2024-11-29,29,Masculino,Trimestral,Cardio,83,683,22:12:00,Ausente,Noite
67,2024-07-17,47,Feminino,Mensal,Cardio,25,172,05:44:00,Presente,Manhã
68,2024-01-16,31,Outro,Trimestral,Yoga,42,243,10:34:00,Presente,Manhã
69,2024-06-12,34,Masculino,Trimestral,Cardio,54,515,20:05:00,Ausente,Noite
70,2024-01-18,61,Masculino,Mensal,CrossFit,32,304,07:12:00,Ausente,Manhã
71,2024-06-23,22,Feminino,Anual,Treino de força,92,715,07:12:00,Ausente,Manhã
72,2024-12-26,30,Masculino,Anual,Cardio,49,378,11:52:00,Ausente,Manhã
73,2024-08-29,30,Feminino,Mensal,HIIT,26,233,17:42:00,Presente,Tarde
74,2024-04-01,34,Masculino,Trimestral,HIIT,58,561,19:50:00,Presente,Noite
75,2024-02-11,33,Feminino,Mensal,CrossFit,53,340,05:22:00,Ausente,Manhã
76,2024-11-22,45,Masculino,Trimestral,Treino de força,54,522,05:01:00,Ausente,Manhã
77,2024-02-20,27,Outro,Mensal,HIIT,84,476,22:34:00,Presente,Noite
78,2024-10-17,27,Feminino,Anual,Cardio,80,549,21:01:00,Ausente,Noite
79,2024-05-10,63,Outro,Trimestral,Treino de força,45,265,21:09:00,Presente,Noite
80,2024-08-23,59,Outro,Anual,CrossFit,89,502,21:53:00,Presente,Noite
81,2024-12-17,60,Masculino,Trimestral,Yoga,98,630,21:54:00,Presente,Noite
82,2024-06-03,23,Outro,Trimestral,Treino de força,43,228,06:52:00,Ausente,Manhã
83,2024-10-17,44,Masculino,Trimestral,CrossFit,20,148,08:30:00,Ausente,Manhã
84,2024-05-26,38,Outro,Trimestral,Treino de força,108,605,22:52:00,Ausente,Noite
85,2024-01-23,25,Feminino,Anual,Yoga,40,364,13:59:00,Presente,Tarde
86,2024-02-10,33,Feminino,Trimestral,Cardio,104,997,07:43:00,Presente,Manhã
87,2024-03-04,52,Feminino,Mensal,CrossFit,115,1098,16:18:00,Ausente,Tarde
88,2024-12-14,19,Masculino,Anual,HIIT,104,713,06:35:00,Ausente,Manhã
89,2024-05-19,53,Masculino,Trimestral,HIIT,37,194,15:22:00,Presente,Tarde
90,2024-05-24,18,Masculino,Trimestral,Cardio,41,342,10:41:00,Ausente,Manhã
91,2024-04-04,48,Masculino,Trimestral,Yoga,71,672,13:50:00,Ausente,Tarde
92,2024-07-29,20,Outro,Mensal,CrossFit,26,148,09:25:00,Presente,Manhã
93,2024-04-15,32,Feminino,Anual,Yoga,64,562,22:15:00,Presente,Noite
94,2024-08-09,47,Masculino,Mensal,HIIT,114,937,22:33:00,Ausente,Noite
95,2024-11-05,41,Masculino,Trimestral,CrossFit,110,865,16:19:00,Ausente,Tarde
96,2024-02-10,58,Outro,Anual,Treino de força,101,778,10:39:00,Ausente,Manhã
97,2024-08-30,59,Feminino,Mensal,Yoga,110,585,22:57:00,Presente,Noite
98,2024-11-17,58,Outro,Mensal,Treino de força,98,721,12:34:00,Presente,Tarde
99,2024-01-21,33,Feminino,Anual,Yoga,49,465,10:14:00,Ausente,Manhã
100,2024-10-22,42,Feminino,Trimestral,CrossFit,69,369,18:31:00,Presente,Noite
101,2024-03-12,51,Masculino,Anual,HIIT,108,856,09:04:00,Ausente,Manhã
102,2024-02-27,36,Masculino,Anual,CrossFit,48,459,07:03:00,Ausente,Manhã
103,2024-03-10,20,Feminino,Anual,Yoga,89,714,06:34:00,Presente,Manhã
104,2024-09-04,64,Masculino,Mensal,CrossFit,86,796,07:55:00,Presente,Manhã
105,2024-06-13,22,Outro,Mensal,Treino de força,64,590,19:39:00,Ausente,Noite
106,2024-10-14,37,Feminino,Anual,Treino de força,108,961,15:30:00,Presente,Tarde
107,2024-03-04,30,Outro,Anual,HIIT,80,596,09:01:00,Ausente,Manhã
108,2024-10-05,64,Outro,Trimestral,Cardio,73,623,10:45:00,Presente,Manhã
109,2024-10-30,31,Feminino,Anual,Cardio,28,236,10:08:00,Ausente,Manhã
110,2024-05-08,48,Outro,Trimestral,CrossFit,25,138,14:03:00,Presente,Tarde
111,2024-07-13,18,Masculino,Trimestral,HIIT,62,429,18:40:00,Ausente,Noite
112,2024-10-24,30,Feminino,Mensal,HIIT,65,555,19:39:00,Presente,Noite
113,2024-10-23,37,Outro,Trimestral,HIIT,120,842,20:17:00,Presente,Noite
114,2024-12-31,42,Masculino,Trimestral,Yoga,88,761,05:32:00,Ausente,Manhã
115,2024-06-09,27,Outro,Anual,HIIT,27,203,12:15:00,Presente,Tarde
116,2024-06-30,47,Outro,Trimestral,CrossFit,42,393,20:17:00,Ausente,Noite
117,2024-08-28,49,Outro,Trimestral,Cardio,31,193,09:26:00,Ausente,Manhã
118,2024-12-25,64,Outro,Trimestral,Yoga,89,668,16:33:00,Presente,Tarde
119,2024-02-06,59,Feminino,Anual,HIIT,39,277,05:25:00,Ausente,Manhã
120,2024-05-05,47,Masculino,Mensal,Treino de força,69,591,09:23:00,Ausente,Manhã
121,2024-04-11,64,Masculino,Anual,Yoga,32,262,08:10:00,Presente,Manhã
122,2024-11-19,19,Feminino,Mensal,Cardio,120,1072,20:51:00,Ausente,Noite
123,2024-06-19,32,Masculino,Trimestral,CrossFit,50,498,05:42:00,Ausente,Manhã
124,2024-12-31,23,Masculino,Anual,CrossFit,83,748,16:54:00,Presente,Tarde
125,2024-12-28,30,Outro,Trimestral,HIIT,86,774,21:09:00,Presente,Noite
126,2024-10-17,54,Masculino,Anual,Yoga,37,194,19:14:00,Ausente,Noite
127,2024-01-05,62,Masculino,Anual,Treino de força,87,788,11:13:00,Ausente,Manhã
128,2024-09-14,18,Outro,Mensal,Yoga,28,266,14:38:00,Ausente,Tarde
129,2024-12-20,18,Masculino,Anual,Treino de força,53,415,15:30:00,Presente,Tarde
130,2024-08-04,61,Outro,Trimestral,Cardio,103,756,05:33:00,Presente,Manhã
131,2024-01-16,37,Feminino,Anual,CrossFit,104,873,17:13:00,Ausente,Tarde
132,2024-04-15,18,Masculino,Trimestral,Cardio,88,828,06:25:00,Ausente,Manhã
133,2024-09-12,52,Masculino,Trimestral,HIIT,84,534,17:02:00,Presente,Tarde
134,2024-08-04,37,Outro,Anual,Cardio,65,327,05:11:00,Ausente,Manhã
135,2024-03-16,59,Outro,Mensal,Cardio,44,341,16:15:00,Ausente,Tarde
136,2024-02-27,65,Masculino,Trimestral,Treino de força,113,934,14:09:00,Ausente,Tarde
137,2024-03-18,50,Outro,Mensal,Cardio,117,878,06:06:00,Presente,Manhã
138,2024-07-05,38,Outro,Trimestral,Treino de força,98,578,07:43:00,Presente,Manhã
139,2024-11-03,34,Masculino,Anual,Cardio,42,214,20:37:00,Presente,Noite
140,2024-02-04,51,Feminino,Anual,Yoga,63,466,10:46:00,Presente,Manhã
141,2024-12-13,56,Feminino,Anual,Cardio,67,440,13:38:00,Presente,Tarde
142,2024-03-25,38,Feminino,Anual,HIIT,82,816,09:38:00,Ausente,Manhã
143,2024-04-20,20,Outro,Anual,Treino de força,80,403,07:40:00,Ausente,Manhã
144,2024-01-28,32,Feminino,Mensal,Yoga,48,476,10:24:00,Ausente,Manhã
145,2024-07-11,52,Outro,Anual,Treino de força,27,155,16:55:00,Ausente,Tarde
146,2024-01-11,20,Outro,Mensal,Cardio,56,405,08:19:00,Presente,Manhã
147,2024-10-24,38,Feminino,Trimestral,Cardio,106,808,17:12:00,Presente,Tarde
148,2024-08-17,48,Masculino,Mensal,Yoga,109,793,06:26:00,Presente,Manhã
149,2024-05-25,18,Masculino,Mensal,Treino de força,83,823,13:11:00,Ausente,Tarde
150,2024-09-11,64,Outro,Trimestral,CrossFit,91,537,06:24:00,Presente,Manhã
151,2024-01-13,29,Outro,Anual,Yoga,31,268,15:57:00,Ausente,Tarde
152,2024-02-10,41,Outro,Trimestral,Treino de força,83,819,05:38:00,Presente,Manhã
153,2024-10-17,19,Outro,Trimestral,CrossFit,65,472,17:58:00,Ausente,Tarde
154,2024-01-08,27,Masculino,Trimestral,CrossFit,66,469,10:50:00,Presente,Manhã
155,2024-06-16,20,Masculino,Anual,CrossFit,52,488,13:11:00,Ausente,Tarde
156,2024-06-12,37,Outro,Anual,CrossFit,54,487,10:20:00,Presente,Manhã
157,2024-10-10,57,Outro,Mensal,Treino de força,63,341,06:46:00,Ausente,Manhã
158,2024-05-24,65,Outro,Mensal,Treino de força,74,667,20:48:00,Ausente,Noite
159,2024-03-14,49,Feminino,Mensal,HIIT,59,367,20:38:00,Presente,Noite
160,2024-08-29,49,Outro,Mensal,HIIT,56,512,16:22:00,Ausente,Tarde
161,2024-10-04,26,Feminino,Anual,Treino de força,100,984,13:25:00,Ausente,Tarde
162,2024-05-09,61,Masculino,Mensal,CrossFit,80,553,17:39:00,Presente,Tarde
163,2024-02-05,57,Masculino,Anual,Yoga,111,1000,17:12:00,Ausente,Tarde
164,2024-04-01,23,Feminino,Trimestral,Cardio,113,645,15:36:00,Ausente,Tarde
165,2024-02-24,45,Outro,Trimestral,CrossFit,59,299,08:57:00,Ausente,Manhã
166,2024-02-27,25,Outro,Trimestral,Cardio,81,572,16:00:00,Presente,Tarde
167,2024-03-17,50,Feminino,Mensal,Cardio,47,278,18:58:00,Presente,Noite
168,2024-12-29,47,Masculino,Anual,HIIT,40,227,14:39:00,Presente,Tarde
169,2024-03-19,33,Outro,Mensal,CrossFit,39,299,15:27:00,Presente,Tarde
170,2024-11-01,19,Masculino,Mensal,CrossFit,77,402,13:29:00,Ausente,Tarde
171,2024-03-15,49,Masculino,Trimestral,HIIT,92,809,12:17:00,Ausente,Tarde
172,2024-12-06,45,Masculino,Trimestral,Cardio,76,647,11:50:00,Ausente,Manhã
173,2024-06-01,38,Masculino,Anual,CrossFit,28,200,07:15:00,Ausente,Manhã
174,2024-03-18,22,Outro,Mensal,HIIT,109,965,11:53:00,Presente,Manhã
175,2024-12-12,38,Outro,Anual,Treino de força,82,560,14:27:00,Presente,Tarde
176,2024-07-03,61,Outro,Anual,HIIT,31,246,05:42:00,Ausente,Manhã
177,2024-12-06,25,Feminino,Trimestral,Treino de força,107,821,16:27:00,Presente,Tarde
178,2024-01-25,41,Outro,Anual,CrossFit,47,395,22:22:00,Ausente,Noite
179,2024-09-03,61,Outro,Mensal,Cardio,57,408,21:12:00,Presente,Noite
180,2024-07-06,38,Outro,Trimestral,Treino de força,48,348,18:39:00,Presente,Noite
181,2024-12-21,54,Outro,Trimestral,CrossFit,69,487,19:23:00,Presente,Noite
182,2024-03-17,58,Feminino,Anual,Cardio,97,862,09:21:00,Presente,Manhã
183,2024-05-26,63,Masculino,Mensal,Yoga,55,525,07:18:00,Ausente,Manhã
184,2024-02-06,45,Masculino,Anual,Cardio,118,775,17:42:00,Ausente,Tarde
185,2024-10-30,30,Outro,Trimestral,Yoga,72,608,20:50:00,Presente,Noite
186,2024-06-05,34,Masculino,Mensal,Yoga,94,690,06:17:00,Ausente,Manhã
187,2024-02-24,51,Outro,Trimestral,HIIT,108,611,17:40:00,Ausente,Tarde
188,2024-03-05,59,Feminino,Mensal,HIIT,71,641,13:46:00,Ausente,Tarde
189,2024-04-14,53,Feminino,Trimestral,Treino de força,98,900,12:30:00,Ausente,Tarde
190,2024-12-04,60,Feminino,Mensal,Treino de força,109,780,11:36:00,Ausente,Manhã
191,2024-03-18,40,Feminino,Trimestral,Cardio,20,113,11:29:00,Ausente,Manhã
192,2024-11-18,62,Feminino,Mensal,Yoga,31,247,13:27:00,Presente,Tarde
193,2024-01-04,52,Masculino,Anual,HIIT,73,456,18:31:00,Ausente,Noite
194,2024-08-17,55,Outro,Trimestral,Cardio,105,931,12:24:00,Presente,Tarde
195,2024-01-09,30,Masculino,Anual,Cardio,25,212,14:50:00,Presente,Tarde
196,2024-01-31,41,Outro,Anual,CrossFit,102,944,08:55:00,Ausente,Manhã
197,2024-04-16,39,Feminino,Trimestral,Yoga,78,666,12:57:00,Ausente,Tarde
198,2024-11-15,31,Masculino,Trimestral,HIIT,33,206,10:45:00,Presente,Manhã
199,2024-01-02,61,Outro,Mensal,HIIT,106,706,22:05:00,Presente,Noite
200,2024-09-10,48,Outro,Trimestral,HIIT,68,565,21:24:00,Ausente,Noite
201,2024-01-05,46,Feminino,Trimestral,Treino de força,27,246,06:22:00,Ausente,Manhã
202,2024-10-15,49,Masculino,Anual,Cardio,72,591,11:22:00,Ausente,Manhã
203,2024-03-14,39,Outro,Mensal,CrossFit,52,486,10:01:00,Ausente,Manhã
204,2024-07-12,24,Masculino,Mensal,Cardio,51,275,11:41:00,Ausente,Manhã
205,2024-04-14,43,Masculino,Anual,Treino de força,36,301,14:28:00,Presente,Tarde
206,2024-02-22,56,Feminino,Anual,CrossFit,74,398,19:03:00,Presente,Noite
207,2024-06-28,57,Masculino,Anual,Cardio,64,474,10:09:00,Presente,Manhã
208,2024-05-31,54,Feminino,Mensal,Treino de força,62,613,10:30:00,Presente,Manhã
209,2024-08-21,25,Masculino,Trimestral,Cardio,106,766,19:32:00,Ausente,Noite
210,2024-02-25,49,Masculino,Anual,Cardio,120,614,15:58:00,Ausente,Tarde
211,2024-01-12,52,Outro,Trimestral,Yoga,101,548,15:07:00,Presente,Tarde
212,2024-08-25,50,Feminino,Trimestral,HIIT,69,655,14:23:00,Ausente,Tarde
213,2024-09-22,50,Feminino,Trimestral,CrossFit,34,266,09:27:00,Presente,Manhã
214,2024-11-25,64,Feminino,Mensal,Treino de força,98,769,17:20:00,Ausente,Tarde
215,2024-11-30,38,Feminino,Anual,Cardio,111,1025,21:15:00,Presente,Noite
216,2024-04-07,27,Masculino,Mensal,Cardio,70,540,14:34:00,Ausente,Tarde
217,2024-08-26,41,Outro,Anual,Yoga,83,741,17:44:00,Ausente,Tarde
218,2024-11-07,52,Masculino,Anual,Treino de força,92,852,17:03:00,Presente,Tarde
219,2024-12-21,62,Outro,Mensal,CrossFit,58,368,17:22:00,Ausente,Tarde
220,2024-10-21,28,Masculino,Anual,HIIT,26,169,15:20:00,Presente,Tarde
221,2024-05-20,58,Feminino,Anual,Treino de força,59,466,09:17:00,Presente,Manhã
222,2024-02-09,53,Feminino,Anual,Treino de força,89,593,22:39:00,Presente,Noite
223,2024-12-23,52,Outro,Mensal,HIIT,78,608,14:51:00,Presente,Tarde
224,2024-07-09,58,Feminino,Mensal,HIIT,23,227,22:05:00,Presente,Noite
225,2024-03-19,27,Masculino,Mensal,Yoga,116,816,22:37:00,Presente,Noite
226,2024-05-12,64,Masculino,Mensal,CrossFit,44,234,16:01:00,Ausente,Tarde
227,2024-05-09,24,Masculino,Trimestral,Treino de força,53,489,07:04:00,Presente,Manhã
228,2024-03-04,43,Masculino,Mensal,CrossFit,29,205,07:21:00,Presente,Manhã
229,2024-05-03,40,Outro,Anual,Yoga,47,235,16:19:00,Ausente,Tarde
230,2024-05-14,41,Outro,Trimestral,Cardio,85,512,07:31:00,Ausente,Manhã
231,2024-09-04,56,Outro,Mensal,CrossFit,64,561,17:26:00,Ausente,Tarde
232,2024-05-13,25,Feminino,Anual,HIIT,45,404,12:57:00,Ausente,Tarde
233,2024-08-07,53,Masculino,Trimestral,HIIT,30,223,12:27:00,Ausente,Tarde
234,2024-12-02,18,Outro,Anual,Cardio,42,248,11:51:00,Presente,Manhã
235,2024-11-30,20,Feminino,Trimestral,Treino de força,78,619,11:09:00,Presente,Manhã
236,2024-12-22,36,Feminino,Trimestral,Yoga,87,725,20:26:00,Ausente,Noite
237,2024-05-26,50,Feminino,Anual,Yoga,117,959,11:35:00,Presente,Manhã
238,2024-01-16,62,Masculino,Mensal,Cardio,69,600,15:31:00,Ausente,Tarde
239,2024-01-07,36,Outro,Anual,Cardio,94,735,15:39:00,Presente,Tarde
240,2024-02-23,30,Outro,Anual,CrossFit,48,437,10:40:00,Ausente,Manhã
241,2024-04-03,33,Masculino,Anual,Yoga,101,714,11:18:00,Presente,Manhã
242,2024-07-25,55,Outro,Mensal,Treino de força,105,867,05:35:00,Ausente,Manhã
243,2024-10-12,29,Outro,Anual,Treino de força,112,654,16:57:00,Presente,Tarde
244,2024-01-24,64,Outro,Anual,Treino de força,102,549,05:57:00,Ausente,Manhã
245,2024-01-16,44,Outro,Anual,Treino de força,63,452,11:49:00,Ausente,Manhã
246,2024-01-27,18,Masculino,Anual,HIIT,36,328,05:12:00,Presente,Manhã
247,2024-11-29,47,Masculino,Trimestral,Treino de força,109,1040,19:58:00,Ausente,Noite
248,2024-04-14,43,Masculino,Mensal,CrossFit,27,204,18:27:00,Presente,Noite
249,2024-09-22,22,Masculino,Anual,Yoga,65,428,12:41:00,Ausente,Tarde
250,2024-02-06,50,Outro,Mensal,CrossFit,58,505,22:17:00,Ausente,Noite
251,2024-02-04,41,Outro,Mensal,HIIT,68,465,21:12:00,Presente,Noite
252,2024-04-11,60,Outro,Mensal,Yoga,77,446,19:33:00,Ausente,Noite
253,2024-04-05,29,Masculino,Anual,Treino de força,52,431,14:57:00,Presente,Tarde
254,2024-06-26,19,Masculino,Anual,Treino de força,40,362,10:13:00,Ausente,Manhã
255,2024-06-25,45,Outro,Anual,Cardio,84,476,06:12:00,Ausente,Manhã
256,2024-12-19,53,Masculino,Mensal,Cardio,112,733,06:38:00,Presente,Manhã
257,2024-02-20,35,Masculino,Anual,Yoga,108,785,12:31:00,Presente,Tarde
258,2024-12-02,40,Masculino,Trimestral,CrossFit,92,782,08:39:00,Presente,Manhã
259,2024-04-08,49,Feminino,Trimestral,Cardio,87,622,18:24:00,Presente,Noite
260,2024-12-23,24,Feminino,Anual,Treino de força,80,512,21:10:00,Ausente,Noite
261,2024-02-08,45,Outro,Trimestral,Cardio,56,491,06:08:00,Ausente,Manhã
262,2024-02-18,39,Feminino,Anual,CrossFit,31,171,15:47:00,Ausente,Tarde
263,2024-01-15,48,Feminino,Trimestral,Yoga,44,396,14:12:00,Ausente,Tarde
264,2024-08-30,55,Masculino,Mensal,Yoga,35,320,12:05:00,Presente,Tarde
265,2024-07-09,62,Feminino,Anual,Treino de força,75,639,17:48:00,Presente,Tarde
266,2024-08-02,64,Outro,Mensal,Yoga,26,192,18:21:00,Presente,Noite
267,2024-10-09,26,Outro,Anual,Treino de força,78,500,15:38:00,Ausente,Tarde
268,2024-06-26,33,Feminino,Mensal,CrossFit,31,164,22:28:00,Ausente,Noite
269,2024-03-25,49,Masculino,Trimestral,Treino de força,70,378,13:14:00,Presente,Tarde
270,2024-07-13,59,Feminino,Anual,HIIT,32,272,13:18:00,Ausente,Tarde
271,2024-08-06,63,Masculino,Trimestral,Yoga,120,1058,12:00:00,Ausente,Tarde
272,2024-11-19,23,Feminino,Trimestral,Treino de força,35,210,21:41:00,Ausente,Noite
273,2024-12-05,65,Outro,Anual,HIIT,36,279,11:56:00,Ausente,Manhã
274,2024-04-18,18,Outro,Trimestral,Cardio,85,499,12:55:00,Ausente,Tarde
275,2024-03-05,53,Feminino,Anual,HIIT,61,415,13:41:00,Ausente,Tarde
276,2024-07-26,26,Feminino,Mensal,Cardio,53,429,20:38:00,Presente,Noite
277,2024-02-04,25,Feminino,Trimestral,HIIT,106,640,22:52:00,Presente,Noite
278,2024-04-19,38,Feminino,Trimestral,Cardio,114,1087,08:38:00,Ausente,Manhã
279,2024-11-08,21,Feminino,Anual,HIIT,44,302,16:00:00,Ausente,Tarde
280,2024-09-25,58,Masculino,Mensal,Yoga,34,201,12:40:00,Presente,Tarde
281,2024-08-16,35,Feminino,Trimestral,HIIT,88,618,19:08:00,Presente,Noite
282,2024-08-29,27,Outro,Anual,Cardio,32,310,13:27:00,Presente,Tarde
283,2024-09-09,24,Feminino,Mensal,Cardio,50,366,14:26:00,Ausente,Tarde
284,2024-08-30,19,Outro,Trimestral,CrossFit,89,848,20:00:00,Ausente,Noite
285,2024-05-15,61,Outro,Mensal,Cardio,57,303,07:24:00,Ausente,Manhã
286,2024-06-11,19,Feminino,Anual,Cardio,98,931,16:39:00,Ausente,Tarde
287,2024-04-13,22,Outro,Anual,Treino de força,114,939,05:36:00,Presente,Manhã
288,2024-01-19,53,Outro,Anual,Cardio,29,177,14:50:00,Ausente,Tarde
289,2024-06-28,58,Outro,Anual,Cardio,107,629,06:01:00,Ausente,Manhã
290,2024-01-05,20,Feminino,Mensal,HIIT,113,1049,07:49:00,Ausente,Manhã
291,2024-04-22,30,Masculino,Mensal,Yoga,95,668,11:28:00,Presente,Manhã
292,2024-08-23,60,Feminino,Trimestral,Yoga,119,994,17:54:00,Presente,Tarde
293,2024-10-12,26,Masculino,Anual,Treino de força,97,876,21:35:00,Presente,Noite
294,2024-05-30,49,Feminino,Mensal,Cardio,89,655,13:23:00,Presente,Tarde
295,2024-12-22,64,Feminino,Mensal,CrossFit,54,404,05:23:00,Presente,Manhã
296,2024-10-17,41,Outro,Anual,Yoga,72,642,05:02:00,Presente,Manhã
297,2024-08-23,52,Feminino,Trimestral,CrossFit,94,588,09:11:00,Ausente,Manhã
298,2024-03-22,24,Masculino,Mensal,Yoga,116,871,14:57:00,Ausente,Tarde
299,2024-09-10,47,Feminino,Trimestral,Cardio,120,900,10:31:00,Ausente,Manhã
300,2024-04-07,62,Outro,Mensal,CrossFit,92,853,13:32:00,Presente,Tarde
301,2024-09-27,59,Masculino,Anual,CrossFit,42,283,22:14:00,Presente,Noite
302,2024-12-13,38,Masculino,Mensal,HIIT,23,226,10:23:00,Ausente,Manhã
303,2024-10-19,50,Masculino,Trimestral,CrossFit,92,797,13:33:00,Ausente,Tarde
304,2024-04-11,57,Masculino,Anual,Cardio,108,949,06:48:00,Ausente,Manhã
305,2024-11-02,42,Outro,Anual,Cardio,46,396,08:09:00,Presente,Manhã
